Year,Month,Quantity,Quantity_YoY,Import,Import_YoY,Used,Used_YoY,Avg_CO2,Bensin_Co2,Diesel_Co2,Quantity_Diesel,Diesel_Share,Diesel_Share_LY,Quantity_Hybrid,Quantity_Electric,Import_Electric
2007,1,12685,5227,2276,257,,,152,155,152,10072,79.4,52.5,,,
2007,2,9793,2448,1992,-89,,,156,159,155,7222,73.7,47.4,,,
2007,3,11264,1445,2626,45,,,159,161,158,7965,70.7,48.1,,,
2007,4,8854,504,2220,-130,,,160,165,158,6116,69.1,48.4,,,
2007,5,12007,1592,2881,7,,,160,163,159,8519,71.0,49.1,,,
2007,6,11083,1545,3038,23,,,161,163,160,8290,74.8,49.5,,,
2007,7,12062,1908,3768,137,,,159,161,158,9203,76.3,50.1,,,
2007,8,10786,1993,3419,260,,,160,160,160,7949,73.7,50.3,,,
2007,9,9340,498,2897,-28,,,160,160,160,7005,75.0,50.5,,,
2007,10,11646,2973,3185,597,,,159,160,159,8967,77.0,48.3,,,
2007,11,10453,1709,2957,544,,,160,161,159,7683,73.5,46.6,,,
2007,12,9222,-1811,2097,-1257,,,162,162,164,7046,76.4,41.1,,,
2008,1,9901,-2784,2287,11,,,158,155,159,7248,73.2,79.4,,,
2008,2,10567,774,2627,635,,,160,159,160,7926,75.0,74.1,,,
2008,3,9506,-1758,2270,-356,,,159,160,159,6936,73.0,70.7,,,
2008,4,11704,2850,2930,710,,,159,160,158,8545,73.0,69.1,,,
2008,5,10217,-1790,2747,-134,,,157,159,156,7588,74.3,71.0,,,
2008,6,9670,-1413,2531,-507,,,158,160,158,7095,73.4,74.8,,,
2008,7,9605,-2457,3027,-741,,,157,159,157,6696,69.7,76.3,,,
2008,8,7833,-2953,2358,-1061,,,157,159,157,5434,69.4,73.7,,,
2008,9,8453,-887,2382,-515,,,157,158,156,5962,70.5,75.0,,,
2008,10,8390,-3256,1851,-1334,,,158,158,159,5962,68.7,77.0,,,
2008,11,6952,-3501,1147,-1810,,,160,159,160,5033,72.4,73.5,,,
2008,12,7819,-1403,1061,-1036,,,156,165,166,5864,75.0,76.4,,,
2009,1,5353,-4548,1048,-1239,,,152,149,153,3603,67.3,73.2,,,
2009,2,6287,-4280,1178,-1449,,,154,151,156,4394,69.9,75.0,,,
2009,3,7601,-1905,1632,-638,,,154,152,156,5337,70.2,73.0,,,
2009,4,7504,-4200,1955,-975,,,153,151,155,5272,70.3,73.0,,,
2009,5,7421,-2796,2008,-739,,,151,150,151,5357,72.2,74.3,,,
2009,6,7581,-2089,1874,-657,,,153,153,153,5550,73.2,73.4,,,
